id;kanton_id;name;strasse;postfach;plz;ort;mail;sprache;webpage;plannerlink
1;BE;A. Bill AG;Seftigenstrasse 315;;3084;Wabern;info@billbaut.ch;de;https://billbaut.ch;
2;BE;Addor AG;;Postfach 405;3780;Gstaad;info@addor-ag.ch;de;https://addor-ag.ch;
3;BE;ADOLF KÜNZI AG;Bindenhausstrasse 42d;;3098;Köniz;info@kuenzibau.ch;de;https://kuenzibau.ch;
4;BE;Aeschlimann AG;Gammenthal 676;;3454;Sumiswald;info@aeschlimannag.ch;de;https://aeschlimannag.ch;
5;BE;AG von Allmen;Losisgräbli 419;;3822;Lauterbrunnen;mva@agvonallmen.ch;de;https://agvonallmen.ch;
6;BE;Alfred Hirt Bau AG.;Neuenburgstrasse 10;;2512;Tüscherz-Alfermée;info@ahirt-bau.ch;de;https://ahirt-bau.ch;
7;BE;Alpinice AG;Sandweg 3;;3818;Grindelwald;info@alpinice.ch;de;https://alpinice.ch;
8;BE;Widmer Bauunternehmung;Rachisberg 281f;;3418;Rüegsbach;widmer.rachisberg@bluewin.ch;de;;
9;BE;Antonietti & Schwaar AG;Witzwilstrasse 5;;3232;Ins;office@antonietti-schwaar.ch;de;https://antonietti-schwaar.ch;
10;BE;ARM AG;Emmentalstrasse 73A;;3510;Konolfingen;info@arm-ag.ch;de;https://arm-ag.ch;
11;BE;Banholzer Bau AG;Lenkstrasse 34;;3775;Lenk;info@banholzer-bau.ch;de;https://banholzer-bau.ch;
12;BE;Bau4U AG;Längfeldweg 50;;2504;Biel;info@bau4u.ch;de;https://bau4u.ch;
13;BE;Baugeschäft Baur GmbH;Eichenweg 5;;3628;Uttigen;info@baur-baugeschaeft.ch;de;https://baur-baugeschaeft.ch;
14;BE;Bauhandwerk AG;Untere Hohle Gasse 5;;3550;Langnau im Emmental;info@bauhandwerkag.ch;de;https://bauhandwerkag.ch;
15;BE;Bautag Bern AG;Winterholzstrasse 59;;3018;Bern;info@bautag.ch;de;https://bautag.ch;
16;BE;Paul Wyss AG;Hohsteg 146;;3822;Lauterbrunnen;paul-wyss@bluewin.ch;de;;
17;BE;Bauwerk AG;Lauenenstrasse 102;;3780;Gstaad;info@bauwerk-gstaad.ch;de;https://bauwerk-gstaad.ch;
18;BE;Bauwerk AG;Allmendstrasse 9;;3770;Zweisimmen;info@bauwerk-zweisimmen.ch;de;https://bauwerk-gstaad.ch;
19;BE;H. Berger Bau AG;Rütifeldstrasse 12;;3294;Büren an der Aare;info@bergerbau.ch;de;https://bergerbau.ch;
20;BE;H. Berger Bau AG;Galgenfeldweg 13E;;3006;Bern;info@bergerbau.ch;de;https://bergerbau.ch;
21;BE;H. Berger Bau AG;Niklaus Wengistrasse 95;;2540;Grenchen;info@bergerbau.ch;de;https://bergerbau.ch;
22;BE;H. Berger Bau AG;Zentrumspl. 6;;3322;Urtenen-Schönbühl;info@bergerbau.ch;de;https://bergerbau.ch;
23;BE;Beutler Bautech GmbH;Eichenweg 16;;4900;Langenthal;info@beutler-bautech.ch;de;https://beutler-bautech.ch;
24;BE;Beyeler Bau AG;Hausenstrasse 79;;3860;Meiringen;info@beyelerbau.ch;de;https://beyelerbau.ch;
25;BE;Binggeli Bau AG;Güterstrasse 8;;3150;Schwarzenburg;info@binggelibau.ch;de;https://binggelibau.ch;
26;BE;Biollay Spezialbau AG;Rehhagstrasse 3;;3018;Bern;info@biollay-spezialbau.ch;de;https://biollay-spezialbau.ch;
27;BE;Bovisi AG;Bodengässli 7;;3145;Niederscherli;info@bovisiag.ch;de;https://bovisiag.ch;
28;BE;Brogini AG;Südstrasse 8;;3250;Lyss;info@broginiag.ch;de;https://broginiag.ch;
29;BE;Bucher Baugeschäft AG;Sägemattstrasse 2;Postfach 242;3097;Liebefeld;info@bucherbau.ch;de;https://bucherbau.ch;
30;BE;Büchi Bauunternehmung AG;Meisenweg 15;Postfach;3000;Bern 22;info@buechibau.ch;de;https://buechibau.ch;
31;BE;Burn & Künzi AG;Burgholz 46;;3753;Oey;info@burnag.ch;de;https://burnag.ch;
32;BE;Burn Spezialbau AG;Landstrasse 72a;;3715;Adelboden;info@burnspezialbauag.ch;de;https://burnspezialbauag.ch;
33;BE;Burri + Partner Bau AG;Gurnigelstrasse 28;;3132;Riggisberg;info@burripartnerbau.ch;de;https://burripartnerbau.ch;
34;BE;BURRIbau AG;Sägebachweg 20;;3114;Wichtrach;info@burribau.ch;de;https://burribau.ch;
35;BE;Cäsar Bay AG;Emmentalstrasse 73c;;3510;Konolfingen;info@bay-bau.ch;de;https://bay-bau.ch;
36;BE;Christ + Röthlisberger AG;Webergutstrasse 10;;3052;Zollikofen;info@christ-roethlisberger.ch;de;https://christ-roethlisberger.ch;
