id;name_de;name_fr;name_it
AG;Aargau;Argovie;Argovia
AI;Appenzell Innerrhoden;Appenzell Rhodes-Intérieures;Appenzello Interno
AR;Appenzell Ausserrhoden;Appenzell Rhodes-Extérieures;Appenzello Esterno
BE;Bern;Berne;Berna
BL;Basel-Landschaft;Bâle-Campagne;Basilea Campagna
BS;Basel-Stadt;Bâle-Ville;Basilea Città
FR;Freiburg;Fribourg;Friburgo
GE;Genf;Genève;Ginevra
GL;Glarus;Glaris;Glarona
GR;Graubünden;Grisons;Grigioni
JU;Jura;Jura;Giura
LU;Luzern;Lucerne;Lucerna
NE;Neuenburg;Neuchâtel;Neuchâtel
NW;Nidwalden;Nidwald;Nidvaldo
OW;Obwalden;Obwald;Obvaldo
SG;St. Gallen;St-Gall;San Gallo
SH;Schaffhausen;Schaffhouse;Sciaffusa
SO;Solothurn;Soleure;Soletta
SZ;Schwyz;Schwytz;Svitto
TG;Thurgau;Thurgovie;Turgovia
TI;Tessin;Tessin;Ticino
UR;Uri;Uri;Uri
VD;Vaud;Vaud;Vaud
VS;Wallis;Valais;Vallese
ZG;Zug;Zoug;Zugo
ZH;Zürich;Zurich;Zurigo
LI;Liechtenstein;Liechtenstein;Liechtenstein
