id;name;url;gemeinde_id
1;Gemeindeverwaltung Aeugst am Albis;https://www.aeugst-albis.ch;1
2;Gemeindeverwaltung Affoltern am Albis;https://www.affoltern-am-albis.ch;2
3;Gemeindeverwaltung Bonstetten;https://www.bonstetten.ch;3
4;Gemeindeverwaltung Hausen am Albis;https://www.hausen.ch;4
5;Gemeindeverwaltung Hedingen;https://www.hedingen.ch;5
6;Gemeindeverwaltung Kappel am Albis;https://www.kappel-am-albis.ch;6
7;Gemeindeverwaltung Knonau;https://www.knonau.ch;7
8;Gemeindeverwaltung Maschwanden;https://www.maschwanden.ch;8
9;Gemeindeverwaltung Mettmenstetten;https://www.mettmenstetten.ch;9
10;Gemeindeverwaltung Obfelden;https://www.obfelden.ch;10
11;Gemeindeverwaltung Ottenbach;https://www.ottenbach.ch;11
12;Gemeindeverwaltung Rifferswil;https://www.rifferswil.ch;12
13;Gemeindeverwaltung Stallikon;https://www.stallikon.ch;13
14;Gemeindeverwaltung Wettswil am Albis;https://www.wettswil.ch;14
15;Gemeindeverwaltung Benken (ZH);https://www.benken-zh.ch;22
16;Gemeindeverwaltung Berg am Irchel;https://www.berg-am-irchel.ch;23
17;Gemeindeverwaltung Buch am Irchel;https://www.buchamirchel.ch;24
18;Gemeindeverwaltung Dachsen;https://www.dachsen.ch;25
19;Gemeindeverwaltung Dorf;https://www.dorf.ch;26
20;Gemeindeverwaltung Feuerthalen;https://www.feuerthalen.ch;27
21;Gemeindeverwaltung Flaach;https://www.flaach.ch;28
22;Gemeindeverwaltung Flurlingen;https://www.flurlingen.ch;29
23;Gemeindeverwaltung Henggart;https://www.henggart.ch;31
24;Gemeindeverwaltung Kleinandelfingen;https://www.kleinandelfingen.ch;33
25;Gemeindeverwaltung Laufen-Uhwiesen;https://www.uhwiesen.ch;34
26;Gemeindeverwaltung Marthalen;https://www.marthalen.ch;35
27;Gemeindeverwaltung Ossingen;https://www.ossingen.ch;37
28;Gemeindeverwaltung Rheinau;https://www.rheinau.ch;38
29;Gemeindeverwaltung Thalheim an der Thur;https://www.thalheim.ch;39
30;Gemeindeverwaltung Trüllikon;https://www.truellikon.ch;40
31;Gemeindeverwaltung Volken;https://www.volken.ch;43
32;Gemeindeverwaltung Bachenbülach;https://www.bachenbuelach.ch;51
33;Gemeindeverwaltung Bassersdorf;https://www.bassersdorf.ch;52
34;Stadtverwaltung Bülach;https://www.buelach.ch;53
35;Gemeindeverwaltung Dietlikon;https://www.dietlikon.ch;54
36;Gemeindeverwaltung Eglisau;https://www.eglisau.ch;55
37;Gemeindeverwaltung Embrach;https://www.embrach.ch;56
38;Gemeindeverwaltung Freienstein-Teufen;https://www.freienstein-teufen.ch;57
39;Gemeindeverwaltung Glattfelden;https://www.glattfelden.ch;58
40;Gemeindeverwaltung Hochfelden;https://www.hochfelden.ch;59
41;Gemeindeverwaltung Hüntwangen;https://www.huentwangen.ch;61
