id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
1;1;Aeugst am Albis;8914;ZH;8.48791135388098;47.2687065916931;de;false
2;1;Aeugstertal;8914;ZH;8.49363930088887;47.2827077115254;de;false
3;2;Zwillikon;8909;ZH;8.4338163821915;47.2895719089935;de;false
4;2;Affoltern am Albis;8910;ZH;8.45439239032273;47.2787910165225;de;false
5;3;Bonstetten;8906;ZH;8.46251033334958;47.3160364512578;de;false
6;4;Sihlbrugg;6340;ZH;8.57526328532996;47.2211609991842;de;false
7;4;Langnau am Albis;8135;ZH;8.5226027327846;47.2661624910659;de;false
8;4;Hausen am Albis;8915;ZH;8.53308037224046;47.2486831186129;de;false
9;4;Ebertswil;8925;ZH;8.55338781663067;47.2279094422343;de;false
10;5;Hedingen;8908;ZH;8.45040273218922;47.302338304229;de;false
11;6;Kappel am Albis;8926;ZH;8.51840127349583;47.2285046482111;de;false
12;6;Hauptikon;8926;ZH;8.49443521433375;47.2325473484479;de;false
13;6;Uerzlikon;8926;ZH;8.49905049173067;47.2181136104968;de;false
14;7;Knonau;8934;ZH;8.46307051439817;47.2242917897439;de;false
15;8;Maschwanden;8933;ZH;8.43086580817173;47.2356658050531;de;false
16;9;Mettmenstetten;8932;ZH;8.46621230087719;47.2487364060088;de;false
18;10;Obfelden;8912;ZH;8.42238663360673;47.2603975151693;de;false
19;11;Ottenbach;8913;ZH;8.40857483951223;47.2810750291526;de;false
20;12;Rifferswil;8911;ZH;8.49488717952783;47.2455005683146;de;false
21;13;Adliswil;8134;ZH;8.50587759910514;47.3121052903457;de;false
22;13;Stallikon;8143;ZH;8.48962069116401;47.3297131612648;de;false
23;13;Uetliberg;8143;ZH;8.49173569040982;47.3485118370347;de;false
24;14;Wettswil;8907;ZH;8.47061251487985;47.3374022017641;de;false
25;22;Benken ZH;8463;ZH;8.65466654435735;47.6537779625136;de;false
26;23;Berg am Irchel;8415;ZH;8.58574105339213;47.5629752463651;de;false
27;23;Gräslikon;8415;ZH;8.6051132751606;47.5560024238577;de;false
28;24;Buch am Irchel;8414;ZH;8.62515448925262;47.5504788053824;de;false
29;25;Dachsen;8447;ZH;8.62437529263727;47.6617499423667;de;false
30;26;Dorf;8458;ZH;8.64932974753579;47.5712719631618;de;false
31;27;Feuerthalen;8245;ZH;8.64416601968451;47.689023480076;de;false
32;27;Langwiesen;8246;ZH;8.66265672944911;47.6833528358284;de;false
33;28;Flaach;8416;ZH;8.60194032805668;47.5834019990043;de;false
34;29;Flurlingen;8247;ZH;8.6355100827768;47.6836038261692;de;false
35;31;Henggart;8444;ZH;8.68083054199028;47.5603876623142;de;false
36;33;Kleinandelfingen;8451;ZH;8.68494909470537;47.6067923887825;de;false
37;33;Alten;8453;ZH;8.64086557266369;47.5969026232895;de;false
38;33;Oerlingen;8461;ZH;8.67758517668385;47.6232302340513;de;false
39;34;Nohl;8212;ZH;8.61029482928259;47.6632700557195;de;false
40;34;Uhwiesen;8248;ZH;8.65016937035125;47.6693125598234;de;false
42;35;Marthalen;8460;ZH;8.63858834376215;47.6183317824914;de;false
43;35;Ellikon am Rhein;8464;ZH;8.60601120020426;47.6021907095905;de;false
44;37;Trüllikon;8466;ZH;8.68987128608807;47.625223719811;de;false
45;37;Ossingen;8475;ZH;8.72185808734358;47.6113264113569;de;false
46;38;Rheinau;8462;ZH;8.61802022608424;47.6276412561848;de;false
48;39;Thalheim an der Thur;8478;ZH;8.74526053715613;47.5820051125174;de;false
49;40;Rudolfingen;8465;ZH;8.67126389042535;47.6381249588451;de;false
50;40;Wildensbuch;8465;ZH;8.67979627441294;47.6509602692472;de;false
52;41;Truttikon;8467;ZH;8.72961067528774;47.6324040729221;de;false
53;43;Volken;8459;ZH;8.63146624787636;47.5766260950257;de;false
54;51;Bülach;8180;ZH;8.56442171030774;47.5103082510376;de;false
55;51;Bachenbülach;8184;ZH;8.54532177310208;47.5011130198802;de;false
56;52;Bassersdorf;8303;ZH;8.62592550111152;47.4402100963228;de;false
58;53;Glattfelden;8192;ZH;8.52455019228672;47.5490272061596;de;false
59;54;Dietlikon;8305;ZH;8.61244814078587;47.4248790859991;de;false
60;54;Dübendorf;8600;ZH;8.62461363473762;47.408266936621;de;true
61;55;Eglisau;8193;ZH;8.52304829035043;47.5723410560951;de;false
62;55;Rafz;8197;ZH;8.54163622790016;47.5911646284697;de;false
63;56;Embrach;8424;ZH;8.59959942426816;47.5100535434126;de;false
64;57;Freienstein;8427;ZH;8.5960105739021;47.5325005357745;de;false
65;57;Teufen ZH;8428;ZH;8.57386811298324;47.5515416445409;de;false
67;58;Zweidlen;8192;ZH;8.47262053298968;47.5672262499121;de;false
69;59;Hochfelden;8182;ZH;8.50846386322751;47.5280389185609;de;false
